2208,chinese_dishes,,,,,chinese_dishes,,,,,,,
9190,baixiangguosuannai,,,百香果酸奶,,,baixiangguosuannai,,,,,,
11420,baixiangguoxingtaodangao,,,百香果杏桃蛋糕,,,baixiangguoxingtaodangao,,,,,,
12269,baiyugudanhuatang,,,白玉菇蛋花汤,,,baiyugudanhuatang,,,,,,
9807,baiyuniangxianxia,,,白玉酿鲜虾,,,baiyuniangxianxia,,,,,,
8064,baizhanji,,,白斩鸡,,,baizhanji,,,,,,
8989,baizhuocaixin,,,白灼菜心,,,baizhuocaixin,,,,,,
7545,baizhuofuzhu,,,白灼腐竹,,,baizhuofuzhu,,,,,,
11495,baizhuojielan,,,白灼芥蓝,,,baizhuojielan,,,,,,
8253,baizhuojinzhengu,,,白灼金针菇,,,baizhuojinzhengu,,,,,,
11262,baizhuolusun,,,白灼芦笋,,,baizhuolusun,,,,,,
8945,baizhuoxia,,,白灼虾,,,baizhuoxia,,,,,,
9416,baizhuoxianxia,,,白灼鲜虾,,,baizhuoxianxia,,,,,,
9278,bangbangjisi,,,棒棒鸡丝,,,bangbangjisi,,,,,,
9325,bangbangtangbinggan,,,棒棒糖饼干,,,bangbangtangbinggan,,,,,,
11876,banhaidaibaicaisi,,,拌海带白菜丝,,,banhaidaibaicaisi,,,,,,
7646,banlanmidoujuan,,,斑斓蜜豆卷,,,banlanmidoujuan,,,,,,
10171,banliangmian,,,拌凉面,,,banliangmian,,,,,,
10541,banlihongshaorou,,,板栗红烧肉,,,banlihongshaorou,,,,,,
9329,banlijikuai,,,板栗鸡块,,,banlijikuai,,,,,,
7437,banlimenyangrou,,,板栗焖羊肉,,,banlimenyangrou,,,,,,
7805,banlirenheisenlindangao,,,板栗仁黑森林蛋糕,,,banlirenheisenlindangao,,,,,,
8280,banlishaoji,,,板栗烧鸡,,,banlishaoji,,,,,,
8360,banlishaojichi,,,板栗烧鸡翅,,,banlishaojichi,,,,,,
11248,bantangmianluobing,,,半烫面烙饼,,,bantangmianluobing,,,,,,
